delay_ms,concurrent_users,sample_count,orders_p50_latency,orders_p95_latency,orders_p99_latency,throughput,timeout_rate,error_rate
0,50,15000,167,291,347,279.5378307864331,0.0108,0.0108
0,100,30000,258,497,614,345.54250172771253,0.0103,0.0103
0,200,60000,521,879,1009,351.0147250677166,0.01135,0.01135
100,50,15000,231,372,419,204.32348494135917,0.012533333333333334,0.012533333333333334
100,100,30000,311,457,517,311.2323764666826,0.011266666666666666,0.011266666666666666
100,200,60000,499,935,1297,358.81519223523924,0.011866666666666666,0.011866666666666666
250,50,15000,419,535,580,120.55745768433236,0.0124,0.0124
250,100,30000,485,598,727,208.21043134261026,0.0104,0.0104
250,200,59820,1197,2962,4374,143.419552387577,0.0145,0.0145
500,50,15000,606,918,1332,76.48144560129712,0.01,0.01
500,100,30000,677,842,961,145.36785335290955,0.011733333333333333,0.011733333333333333
500,200,59904,898,2048,3514,0.8236323286615854,0.012983333333333333,0.012983333333333333
1000,50,15000,1020,1094,1137,48.4386605095747,0.0122,0.0122
1000,100,30000,1072,1196,1234,92.09573044193671,0.011766666666666667,0.011766666666666667
1000,200,60000,1140,1276,1334,175.0133447675385,0.010766666666666667,0.010766666666666667
2000,50,15000,2025,2099,2161,24.521423550375175,0.009666666666666667,0.009666666666666667
2000,100,30000,2039,2159,2215,48.506093173737504,0.011266666666666666,0.011266666666666666
2000,200,60000,2068,2221,2275,95.72400853858156,0.011616666666666668,0.011616666666666668
