trial,pattern,sla_target_ms,sample_count,sla_compliance_percent
1,Direct API,1000,30000,100
1,Direct API,10000,30000,100
1,Direct API,60000,30000,100
1,Direct API,300000,30000,100
1,Direct API,900000,30000,100
1,Event Projection,1000,30000,90.83333333333333
1,Event Projection,10000,30000,100
1,Event Projection,60000,30000,100
1,Event Projection,300000,30000,100
1,Event Projection,900000,30000,100
1,Batch Replication,1000,30000,100
1,Batch Replication,10000,30000,100
1,Batch Replication,60000,30000,100
1,Batch Replication,300000,30000,100
1,Batch Replication,900000,30000,100
1,Hybrid,1000,30000,97.00999999999999
1,Hybrid,10000,30000,100
1,Hybrid,60000,30000,100
1,Hybrid,300000,30000,100
1,Hybrid,900000,30000,100
2,Direct API,1000,30000,100
2,Direct API,10000,30000,100
2,Direct API,60000,30000,100
2,Direct API,300000,30000,100
2,Direct API,900000,30000,100
2,Event Projection,1000,30000,90.70333333333333
2,Event Projection,10000,30000,100
2,Event Projection,60000,30000,100
2,Event Projection,300000,30000,100
2,Event Projection,900000,30000,100
2,Batch Replication,1000,30000,100
2,Batch Replication,10000,30000,100
2,Batch Replication,60000,30000,100
2,Batch Replication,300000,30000,100
2,Batch Replication,900000,30000,100
2,Hybrid,1000,30000,96.90666666666667
2,Hybrid,10000,30000,100
2,Hybrid,60000,30000,100
2,Hybrid,300000,30000,100
2,Hybrid,900000,30000,100
3,Direct API,1000,30000,100
3,Direct API,10000,30000,100
3,Direct API,60000,30000,100
3,Direct API,300000,30000,100
3,Direct API,900000,30000,100
3,Event Projection,1000,30000,90.82666666666667
3,Event Projection,10000,30000,100
3,Event Projection,60000,30000,100
3,Event Projection,300000,30000,100
3,Event Projection,900000,30000,100
3,Batch Replication,1000,30000,100
3,Batch Replication,10000,30000,100
3,Batch Replication,60000,30000,100
3,Batch Replication,300000,30000,100
3,Batch Replication,900000,30000,100
3,Hybrid,1000,30000,96.97333333333333
3,Hybrid,10000,30000,100
3,Hybrid,60000,30000,100
3,Hybrid,300000,30000,100
3,Hybrid,900000,30000,100
4,Direct API,1000,30000,100
4,Direct API,10000,30000,100
4,Direct API,60000,30000,100
4,Direct API,300000,30000,100
4,Direct API,900000,30000,100
4,Event Projection,1000,30000,91.02333333333334
4,Event Projection,10000,30000,100
4,Event Projection,60000,30000,100
4,Event Projection,300000,30000,100
4,Event Projection,900000,30000,100
4,Batch Replication,1000,30000,100
4,Batch Replication,10000,30000,100
4,Batch Replication,60000,30000,100
4,Batch Replication,300000,30000,100
4,Batch Replication,900000,30000,100
4,Hybrid,1000,30000,96.98333333333333
4,Hybrid,10000,30000,100
4,Hybrid,60000,30000,100
4,Hybrid,300000,30000,100
4,Hybrid,900000,30000,100
5,Direct API,1000,30000,100
5,Direct API,10000,30000,100
5,Direct API,60000,30000,100
5,Direct API,300000,30000,100
5,Direct API,900000,30000,100
5,Event Projection,1000,30000,91.09
5,Event Projection,10000,30000,100
5,Event Projection,60000,30000,100
5,Event Projection,300000,30000,100
5,Event Projection,900000,30000,100
5,Batch Replication,1000,30000,100
5,Batch Replication,10000,30000,100
5,Batch Replication,60000,30000,100
5,Batch Replication,300000,30000,100
5,Batch Replication,900000,30000,100
5,Hybrid,1000,30000,96.89333333333333
5,Hybrid,10000,30000,100
5,Hybrid,60000,30000,100
5,Hybrid,300000,30000,100
5,Hybrid,900000,30000,100
