pattern,sla_target_ms,trials,sample_count,mean_compliance_percent,median_compliance_percent,stddev_compliance_percent,ci95_lower,ci95_upper
Direct API,1000,5,150000,100,100,0,100,100
Direct API,10000,5,150000,100,100,0,100,100
Direct API,60000,5,150000,100,100,0,100,100
Direct API,300000,5,150000,100,100,0,100,100
Direct API,900000,5,150000,100,100,0,100,100
Event Projection,1000,5,150000,90.89533333333334,90.83333333333333,0.15787829349076607,90.75694690753787,91.03371975912881
Event Projection,10000,5,150000,100,100,0,100,100
Event Projection,60000,5,150000,100,100,0,100,100
Event Projection,300000,5,150000,100,100,0,100,100
Event Projection,900000,5,150000,100,100,0,100,100
Batch Replication,1000,5,150000,100,100,0,100,100
Batch Replication,10000,5,150000,100,100,0,100,100
Batch Replication,60000,5,150000,100,100,0,100,100
Batch Replication,300000,5,150000,100,100,0,100,100
Batch Replication,900000,5,150000,100,100,0,100,100
Hybrid,1000,5,150000,96.95333333333333,96.97333333333333,0.05071708018234113,96.90887785248138,96.99778881418528
Hybrid,10000,5,150000,100,100,0,100,100
Hybrid,60000,5,150000,100,100,0,100,100
Hybrid,300000,5,150000,100,100,0,100,100
Hybrid,900000,5,150000,100,100,0,100,100
